GALEXASCJ00002;     survey; Equatorial; J2000; 00:00:21.2; +31:01:17.9; Heliocentric; Optical; 566.0;  N;
UGC06931;           survey; Equatorial; J2000; 11:57:25.0; +57:55:48.8; Heliocentric; Optical; 1189.9; N;
WISEAJ115725.1;     survey; Equatorial; J2000; 11:57:25.1; +02:11:16.6; Heliocentric; Optical; 1019.3; N;
KUG1154+400;        survey; Equatorial; J2000; 11:57:25.7; +39:45:39.1; Heliocentric; Optical; 1053.9; N;
NGC3990;            survey; Equatorial; J2000; 11:57:35.6; +55:27:31.5; Heliocentric; Optical; 689.7;  N;
MESSIER109;         survey; Equatorial; J2000; 11:57:36.0; +53:22:29.0; Heliocentric; Optical; 1046.7; N;
SDSSJ115754.18;     survey; Equatorial; J2000; 11:57:54.0; +56:38:16.9; Heliocentric; Optical; 413.1;  N;
WISEAJ115811.0;     survey; Equatorial; J2000; 11:58:11.0; +58:09:23.0; Heliocentric; Optical; 954.4;  N;
WISEAJ115813.7;     survey; Equatorial; J2000; 11:58:13.7; +55:23:16.8; Heliocentric; Optical; 969.0;  N;
UGC06956;           survey; Equatorial; J2000; 11:58:25.6; +50:55:01.2; Heliocentric; Optical; 917.1;  N;
UGC06955;           survey; Equatorial; J2000; 11:58:29.8; +38:04:34.8; Heliocentric; Optical; 905.1;  N;
NGC4013;            survey; Equatorial; J2000; 11:58:31.3; +43:56:50.7; Heliocentric; Optical; 831.3;  N;
IC0749;             survey; Equatorial; J2000; 11:58:34.1; +42:44:02.0; Heliocentric; Optical; 812.4;  N;
NGC4010;            survey; Equatorial; J2000; 11:58:38.0; +47:15:41.2; Heliocentric; Optical; 901.8;  N;
UGC06969;           survey; Equatorial; J2000; 11:58:47.9; +53:25:28.1; Heliocentric; Optical; 1114.0; N;
WISEAJ115849.7;     survey; Equatorial; J2000; 11:58:49.7; +46:27:53.1; Heliocentric; Optical; 791.8;  N;
NGC4020;            survey; Equatorial; J2000; 11:58:56.7; +30:24:42.8; Heliocentric; Optical; 760.0;  N;
CGCG215-013;        survey; Equatorial; J2000; 11:58:56.9; +44:11:33.4; Heliocentric; Optical; 686.6;  N;
ESO572-G034;        survey; Equatorial; J2000; 11:58:58.3; -19:01:41.2; Heliocentric; Optical; 1114.0; N;
UGC06983;           survey; Equatorial; J2000; 11:59:09.8; +52:42:25.9; Heliocentric; Optical; 1081.1; N;
WISEAJ115921.8;     survey; Equatorial; J2000; 11:59:21.9; +56:46:46.2; Heliocentric; Optical; 1072.0; N;
NGC4026;            survey; Equatorial; J2000; 11:59:25.1; +50:57:42.0; Heliocentric; Optical; 986.1;  N;
KUG1156+426;        survey; Equatorial; J2000; 11:59:29.2; +42:20:56.6; Heliocentric; Optical; 885.2;  N;
2MASSJ11595084;     survey; Equatorial; J2000; 11:59:50.8; +63:25:34.7; Heliocentric; Optical; 1331.8; N;
SDSSJ115950.81;     survey; Equatorial; J2000; 11:59:50.8; +50:29:55.3; Heliocentric; Optical; 876.0;  N;
WISEAJ115956.2;     survey; Equatorial; J2000; 11:59:56.3; +53:29:44.5; Heliocentric; Optical; 1066.2; N;
MCG+08-22-051;      survey; Equatorial; J2000; 11:59:57.7; +49:33:49.8; Heliocentric; Optical; 1124.0; N;
WISEAJ115958.7;     survey; Equatorial; J2000; 11:59:58.7; +44:43:05.5; Heliocentric; Optical; 1168.0; N;
SDSSJ120005.54;     survey; Equatorial; J2000; 12:00:05.6; -01:18:35.0; Heliocentric; Optical; 1178.2; N;
KUG1157+315;        survey; Equatorial; J2000; 12:00:16.2; +31:13:30.2; Heliocentric; Optical; 610.3;  N;
UGC06992;           survey; Equatorial; J2000; 12:00:18.9; +50:39:10.6; Heliocentric; Optical; 758.8;  N;
WISEAJ120021.6;     survey; Equatorial; J2000; 12:00:21.6; +54:56:22.7; Heliocentric; Optical; 1350.4; N;
NGC4032;            survey; Equatorial; J2000; 12:00:32.9; +20:04:25.9; Heliocentric; Optical; 1271.3; N;
UGCA262;            survey; Equatorial; J2000; 12:00:35.4; +47:46:25.5; Heliocentric; Optical; 569.0;  N;
SDSSJ120120.89;     survey; Equatorial; J2000; 12:01:20.9; +60:20:15.2; Heliocentric; Optical; 1297.5; N;
SHOC357;            survey; Equatorial; J2000; 12:01:22.3; +02:11:08.6; Heliocentric; Optical; 974.0;  N;
NGC4037;            survey; Equatorial; J2000; 12:01:23.7; +13:24:03.7; Heliocentric; Optical; 928.0;  N;
UGC07007;           survey; Equatorial; J2000; 12:01:33.1; +33:20:28.6; Heliocentric; Optical; 774.1;  N;
WISEAJ120139.6;     survey; Equatorial; J2000; 12:01:39.6; +55:12:31.3; Heliocentric; Optical; 1188.0; N;
UGC07009;           survey; Equatorial; J2000; 12:01:44.1; +62:19:33.2; Heliocentric; Optical; 1126.5; N;
VV462;              survey; Equatorial; J2000; 12:01:44.3; +05:49:17.1; Heliocentric; Optical; 1340.0; N;
WISEAJ120150.1;     survey; Equatorial; J2000; 12:01:50.1; +55:08:42.4; Heliocentric; Optical; 1044.3; N;
WISEAJ120204.3;     survey; Equatorial; J2000; 12:02:04.3; +56:36:48.7; Heliocentric; Optical; 1195.5; N;
NGC4041;            survey; Equatorial; J2000; 12:02:12.2; +62:08:14.4; Heliocentric; Optical; 1215.1; N;
MCG+11-15-013;      survey; Equatorial; J2000; 12:02:43.3; +62:29:52.5; Heliocentric; Optical; 1045.4; N;
UGC07022;           survey; Equatorial; J2000; 12:02:43.7; +45:11:27.5; Heliocentric; Optical; 709.3;  N;
NGC4049;            survey; Equatorial; J2000; 12:02:54.6; +18:45:10.1; Heliocentric; Optical; 828.9;  N;
WISEAJ120255.6;     survey; Equatorial; J2000; 12:02:55.6; +55:49:06.1; Heliocentric; Optical; 1034.0; N;
WISEAJ120300.0;     survey; Equatorial; J2000; 12:03:00.0; +47:39:14.5; Heliocentric; Optical; 492.1;  N;
WISEAJ120302.8;     survey; Equatorial; J2000; 12:03:02.8; +06:30:05.2; Heliocentric; Optical; 1312.8; N;
WISEAJ120310.9;     survey; Equatorial; J2000; 12:03:10.9; +32:57:22.0; Heliocentric; Optical; 569.6;  N;
WISEAJ120313.3;     survey; Equatorial; J2000; 12:03:13.4; +53:15:04.1; Heliocentric; Optical; 943.8;  N;
2MASXJ12032304;     survey; Equatorial; J2000; 12:03:23.0; +43:44:40.0; Heliocentric; Optical; 1063.3; N;
KUG1201+163;        survey; Equatorial; J2000; 12:03:35.9; +16:03:19.3; Heliocentric; Optical; 899.4;  N;
UGC07035;           survey; Equatorial; J2000; 12:03:40.1; +02:38:28.3; Heliocentric; Optical; 1228.5; N;
WISEAJ120353.9;     survey; Equatorial; J2000; 12:03:54.0; +38:54:09.7; Heliocentric; Optical; 952.7;  N;
NGC4068;            survey; Equatorial; J2000; 12:04:00.8; +52:35:17.5; Heliocentric; Optical; 206.0;  N;
NGC4062;            survey; Equatorial; J2000; 12:04:03.8; +31:53:44.8; Heliocentric; Optical; 757.9;  N;
KUG1201+292;        survey; Equatorial; J2000; 12:04:04.8; +28:58:52.6; Heliocentric; Optical; 914.0;  N;
NGC4064;            survey; Equatorial; J2000; 12:04:11.2; +18:26:37.3; Heliocentric; Optical; 906.9;  N;
IC0758;             survey; Equatorial; J2000; 12:04:11.9; +62:30:19.2; Heliocentric; Optical; 1275.9; N;
NGC4080;            survey; Equatorial; J2000; 12:04:51.5; +26:59:37.0; Heliocentric; Optical; 566.9;  N;
WISEAJ120502.1;     survey; Equatorial; J2000; 12:05:02.2; -00:41:32.6; Heliocentric; Optical; 1319.1; N;
IC2992;             survey; Equatorial; J2000; 12:05:15.8; +30:51:19.8; Heliocentric; Optical; 608.1;  N;
WISEAJ120519.9;     survey; Equatorial; J2000; 12:05:19.9; -00:28:48.7; Heliocentric; Optical; 1371.0; N;
NGC4085;            survey; Equatorial; J2000; 12:05:22.7; +50:21:10.3; Heliocentric; Optical; 760.1;  N;
KUG1202+286;        survey; Equatorial; J2000; 12:05:23.3; +28:21:56.3; Heliocentric; Optical; 533.2;  N;
WISEAJ120526.6;     survey; Equatorial; J2000; 12:05:26.6; -00:16:56.9; Heliocentric; Optical; 1342.0; N;
NGC4088;            survey; Equatorial; J2000; 12:05:34.3; +50:32:21.8; Heliocentric; Optical; 745.9;  N;
SDSSJ120549.54;     survey; Equatorial; J2000; 12:05:49.5; +50:47:29.1; Heliocentric; Optical; 826.6;  N;
UGC07089;           survey; Equatorial; J2000; 12:05:57.8; +43:08:35.9; Heliocentric; Optical; 769.9;  N;
NGC4096;            survey; Equatorial; J2000; 12:06:01.1; +47:28:42.8; Heliocentric; Optical; 572.0;  N;
NGC4100;            survey; Equatorial; J2000; 12:06:08.5; +49:34:57.0; Heliocentric; Optical; 1074.5; N;
UGC07094;           survey; Equatorial; J2000; 12:06:10.7; +42:57:20.9; Heliocentric; Optical; 779.5;  N;
SDSSJ120707.98;     survey; Equatorial; J2000; 12:07:08.0; +00:04:50.8; Heliocentric; Optical; 1342.2; N;
UGCA271;            survey; Equatorial; J2000; 12:07:23.5; +39:48:46.1; Heliocentric; Optical; 876.9;  N;
LSBCD572-04;        survey; Equatorial; J2000; 12:07:30.6; +18:41:01.9; Heliocentric; Optical; 788.1;  N;
NGC4116;            survey; Equatorial; J2000; 12:07:37.1; +02:41:26.6; Heliocentric; Optical; 1308.9; N;
SDSSJ120741.28;     survey; Equatorial; J2000; 12:07:41.3; +39:22:46.0; Heliocentric; Optical; 1054.7; N;
WISEAJ120749.9;     survey; Equatorial; J2000; 12:07:50.0; +31:33:08.6; Heliocentric; Optical; 562.3;  N;
WISEAJ120751.6;     survey; Equatorial; J2000; 12:07:51.6; +41:33:47.4; Heliocentric; Optical; 1148.9; N;
NGC4118;            survey; Equatorial; J2000; 12:07:52.9; +43:06:38.8; Heliocentric; Optical; 637.5;  N;
WISEAJ120753.5;     survey; Equatorial; J2000; 12:07:53.6; +64:23:24.1; Heliocentric; Optical; 1387.0; N;
NGC4125;            survey; Equatorial; J2000; 12:08:06.0; +65:10:26.9; Heliocentric; Optical; 1281.1; N;
SDSSJ120809.74;     survey; Equatorial; J2000; 12:08:09.7; +37:27:24.6; Heliocentric; Optical; 1068.4; N;
SDSSJ120810.72;     survey; Equatorial; J2000; 12:08:10.7; +55:44:47.0; Heliocentric; Optical; 1111.2; N;
NGC4123;            survey; Equatorial; J2000; 12:08:11.1; +02:52:42.0; Heliocentric; Optical; 1326.9; N;
WISEAJ120824.1;     survey; Equatorial; J2000; 12:08:24.2; +03:00:47.7; Heliocentric; Optical; 880.0;  N;
WISEAJ120824.5;     survey; Equatorial; J2000; 12:08:24.5; +41:24:05.3; Heliocentric; Optical; 1039.6; N;
WISEAJ120841.1;     survey; Equatorial; J2000; 12:08:41.1; +39:19:23.3; Heliocentric; Optical; 1048.0; N;
UGC07125;           survey; Equatorial; J2000; 12:08:42.3; +36:48:10.0; Heliocentric; Optical; 1069.0; N;
SDSSJ120847.78;     survey; Equatorial; J2000; 12:08:47.8; +51:11:46.9; Heliocentric; Optical; 609.9;  N;
NGC4133;            survey; Equatorial; J2000; 12:08:50.0; +74:54:15.3; Heliocentric; Optical; 1359.0; N;
NGC4129;            survey; Equatorial; J2000; 12:08:53.3; -09:02:12.1; Heliocentric; Optical; 1174.0; N;
WISEAJ120854.2;     survey; Equatorial; J2000; 12:08:54.1; +30:24:51.4; Heliocentric; Optical; 204.0;  N;
UGC07129;           survey; Equatorial; J2000; 12:08:55.1; +41:44:27.2; Heliocentric; Optical; 925.0;  N;
WISEAJ120910.0;     survey; Equatorial; J2000; 12:09:10.1; +51:32:23.5; Heliocentric; Optical; 524.9;  N;
UGC07131;           survey; Equatorial; J2000; 12:09:11.9; +30:54:25.9; Heliocentric; Optical; 253.0;  N;
NGC4136;            survey; Equatorial; J2000; 12:09:17.7; +29:55:39.6; Heliocentric; Optical; 605.9;  N;
WISEAJ120921.1;     survey; Equatorial; J2000; 12:09:21.2; +25:12:02.5; Heliocentric; Optical; 712.9;  N;
NGC4142;            survey; Equatorial; J2000; 12:09:30.2; +53:06:17.0; Heliocentric; Optical; 1158.1; N;
WISEAJ120931.8;     survey; Equatorial; J2000; 12:09:31.8; +54:56:19.0; Heliocentric; Optical; 994.8;  N;
KUG1207+394;        survey; Equatorial; J2000; 12:09:44.2; +39:07:33.6; Heliocentric; Optical; 987.7;  N;
VCC0013;            survey; Equatorial; J2000; 12:09:45.8; +13:33:07.1; Heliocentric; Optical; 1150.0; N;
UGC07146;           survey; Equatorial; J2000; 12:09:49.1; +43:14:04.9; Heliocentric; Optical; 1064.9; N;
KUG1207+367;        survey; Equatorial; J2000; 12:09:56.4; +36:26:01.3; Heliocentric; Optical; 340.9;  N;
NGC4144;            survey; Equatorial; J2000; 12:09:58.6; +46:27:26.7; Heliocentric; Optical; 265.0;  N;
WISEAJ120959.8;     survey; Equatorial; J2000; 12:09:59.9; +39:11:47.3; Heliocentric; Optical; 1320.9; N;
NGC4145;            survey; Equatorial; J2000; 12:10:01.5; +39:53:01.8; Heliocentric; Optical; 1009.1; N;
IC3023;             survey; Equatorial; J2000; 12:10:01.7; +14:22:00.7; Heliocentric; Optical; 825.9;  N;
WISEAJ121009.8;     survey; Equatorial; J2000; 12:10:09.9; +14:20:09.5; Heliocentric; Optical; 1150.0; N;
MCG+11-15-032;      survey; Equatorial; J2000; 12:10:12.6; +64:45:38.7; Heliocentric; Optical; 1350.0; N;
GALEXMSCJ12101;     survey; Equatorial; J2000; 12:10:16.0; +47:34:26.4; Heliocentric; Optical; 408.0;  N;
SDSSJ121021.06;     survey; Equatorial; J2000; 12:10:21.1; +39:12:52.2; Heliocentric; Optical; 901.0;  N;
IC3025;             survey; Equatorial; J2000; 12:10:23.1; +10:11:19.0; Heliocentric; Optical; 483.0;  N;
SDSSJ121030.32;     survey; Equatorial; J2000; 12:10:30.3; +53:29:09.9; Heliocentric; Optical; 961.8;  N;
NGC4150;            survey; Equatorial; J2000; 12:10:33.7; +30:24:05.8; Heliocentric; Optical; 208.1;  N;
IC3028;             survey; Equatorial; J2000; 12:10:35.7; +11:45:38.9; Heliocentric; Optical; 1296.0; N;
GALEXASCJ12104;     survey; Equatorial; J2000; 12:10:46.6; +45:43:26.1; Heliocentric; Optical; 959.3;  N;
VCC0029;            survey; Equatorial; J2000; 12:10:49.0; +15:15:09.6; Heliocentric; Optical; 470.3;  N;
NGC4145A;           survey; Equatorial; J2000; 12:10:54.5; +39:45:26.5; Heliocentric; Optical; 1147.0; N;
WISEAJ121055.7;     survey; Equatorial; J2000; 12:10:55.8; +25:03:33.6; Heliocentric; Optical; 662.6;  N;
WISEAJ121058.1;     survey; Equatorial; J2000; 12:10:58.2; +24:14:38.8; Heliocentric; Optical; 1278.3; N;
SBS1208+531;        survey; Equatorial; J2000; 12:11:00.7; +52:49:57.4; Heliocentric; Optical; 911.1;  N;
NGC4157;            survey; Equatorial; J2000; 12:11:04.4; +50:29:06.0; Heliocentric; Optical; 771.1;  N;
IC3032;             survey; Equatorial; J2000; 12:11:07.8; +14:16:29.2; Heliocentric; Optical; 1179.4; N;
WISEAJ121109.3;     survey; Equatorial; J2000; 12:11:09.3; +50:18:53.6; Heliocentric; Optical; 299.8;  N;
IC3033;             survey; Equatorial; J2000; 12:11:10.0; +13:35:15.0; Heliocentric; Optical; 264.1;  N;
WISEAJ121121.6;     survey; Equatorial; J2000; 12:11:21.7; +38:32:23.6; Heliocentric; Optical; 1081.1; N;
MCG+08-22-082;      survey; Equatorial; J2000; 12:11:22.5; +50:16:10.5; Heliocentric; Optical; 899.4;  N;
SDSSJ121134.99;     survey; Equatorial; J2000; 12:11:35.0; +47:39:27.2; Heliocentric; Optical; 751.8;  N;
WISEAJ121153.4;     survey; Equatorial; J2000; 12:11:53.4; -00:25:29.8; Heliocentric; Optical; 1157.5; N;
MCG+08-22-083;      survey; Equatorial; J2000; 12:11:55.6; +46:58:55.1; Heliocentric; Optical; 985.4;  N;
VCCA004;            survey; Equatorial; J2000; 12:11:59.5; +05:55:02.5; Heliocentric; Optical; 755.9;  N;
VCC0042;            survey; Equatorial; J2000; 12:12:06.0; +14:57:11.7; Heliocentric; Optical; 1150.0; N;
NGC4163;            survey; Equatorial; J2000; 12:12:09.2; +36:10:11.3; Heliocentric; Optical; 164.0;  N;
VCC0050;            survey; Equatorial; J2000; 12:12:19.0; +15:28:59.6; Heliocentric; Optical; 1220.0; N;
NGC4173;            survey; Equatorial; J2000; 12:12:21.4; +29:12:25.0; Heliocentric; Optical; 1119.1; N;
SDSSJ121224.31;     survey; Equatorial; J2000; 12:12:24.4; +65:10:27.1; Heliocentric; Optical; 1274.0; N;
VCC0055;            survey; Equatorial; J2000; 12:12:26.8; +13:16:46.9; Heliocentric; Optical; 1150.0; N;
NGC4178;            survey; Equatorial; J2000; 12:12:46.5; +10:51:57.7; Heliocentric; Optical; 374.1;  N;
IC3044;             survey; Equatorial; J2000; 12:12:48.7; +13:58:35.0; Heliocentric; Optical; -192.4; N;
NGC4179;            survey; Equatorial; J2000; 12:12:52.1; +01:17:58.9; Heliocentric; Optical; 1299.9; N;
WISEAJ121255.1;     survey; Equatorial; J2000; 12:12:55.2; +44:05:27.7; Heliocentric; Optical; 968.7;  N;
SBS1210+537A;       survey; Equatorial; J2000; 12:12:55.9; +53:27:38.2; Heliocentric; Optical; 1155.0; N;
UGC07218;           survey; Equatorial; J2000; 12:12:56.9; +52:15:54.4; Heliocentric; Optical; 769.9;  N;
IC0770;             survey; Equatorial; J2000; 12:13:02.3; -04:33:11.8; Heliocentric; Optical; 1229.1; N;
VCC0074;            survey; Equatorial; J2000; 12:13:04.7; +15:53:34.5; Heliocentric; Optical; 771.3;  N;
NGC4183;            survey; Equatorial; J2000; 12:13:16.9; +43:41:54.9; Heliocentric; Optical; 929.1;  N;
KUG1210+301B;       survey; Equatorial; J2000; 12:13:23.6; +29:55:18.2; Heliocentric; Optical; 120.0;  N;
WISEAJ121331.9;     survey; Equatorial; J2000; 12:13:31.9; +08:53:45.6; Heliocentric; Optical; 1150.0; N;
NGC4190;            survey; Equatorial; J2000; 12:13:44.8; +36:38:02.5; Heliocentric; Optical; 228.1;  N;
SDSSJ121345.08;     survey; Equatorial; J2000; 12:13:45.1; -00:16:57.4; Heliocentric; Optical; 906.8;  N;
IC3052;             survey; Equatorial; J2000; 12:13:48.3; +12:41:26.0; Heliocentric; Optical; 812.0;  N;
SDSSJ121348.37;     survey; Equatorial; J2000; 12:13:48.4; +29:57:31.7; Heliocentric; Optical; 224.8;  N;
WISEAJ121357.2;     survey; Equatorial; J2000; 12:13:57.3; +57:35:17.5; Heliocentric; Optical; 1273.6; N;
SDSSJ121400.55;     survey; Equatorial; J2000; 12:14:00.6; +51:03:03.1; Heliocentric; Optical; 851.4;  N;
SBS1211+540;        survey; Equatorial; J2000; 12:14:02.5; +53:45:17.5; Heliocentric; Optical; 902.6;  N;
SDSSJ121406.66;     survey; Equatorial; J2000; 12:14:06.7; +01:39:40.0; Heliocentric; Optical; 237.5;  N;
UGC07242;           survey; Equatorial; J2000; 12:14:08.4; +66:05:41.0; Heliocentric; Optical; 68.1;   N;
UGC07239;           survey; Equatorial; J2000; 12:14:08.9; +07:46:34.5; Heliocentric; Optical; 1224.1; N;
VCC0107;            survey; Equatorial; J2000; 12:14:09.8; +13:13:59.8; Heliocentric; Optical; 1150.0; N;
IC3054;             survey; Equatorial; J2000; 12:14:14.4; +13:32:34.4; Heliocentric; Optical; 1305.6; N;
WISEAJ121426.7;     survey; Equatorial; J2000; 12:14:26.8; +29:45:51.4; Heliocentric; Optical; 426.4;  N;
IC3056;             survey; Equatorial; J2000; 12:14:36.9; +12:48:42.7; Heliocentric; Optical; 602.9;  N;
WISEAJ121439.9;     survey; Equatorial; J2000; 12:14:40.0; +46:21:11.9; Heliocentric; Optical; 583.1;  N;
IC3059;             survey; Equatorial; J2000; 12:14:55.2; +13:27:39.5; Heliocentric; Optical; 258.1;  N;
KUG1212+211;        survey; Equatorial; J2000; 12:14:56.7; +20:53:50.3; Heliocentric; Optical; 938.9;  N;
UGC07257;           survey; Equatorial; J2000; 12:15:02.9; +35:57:32.2; Heliocentric; Optical; 942.5;  N;
VCC0137;            survey; Equatorial; J2000; 12:15:08.5; +14:58:18.8; Heliocentric; Optical; 1152.9; N;
IC3065;             survey; Equatorial; J2000; 12:15:12.6; +14:25:58.8; Heliocentric; Optical; 995.0;  N;
NGC4204;            survey; Equatorial; J2000; 12:15:14.4; +20:39:31.6; Heliocentric; Optical; 870.0;  N;
IC3066;             survey; Equatorial; J2000; 12:15:16.7; +13:28:21.8; Heliocentric; Optical; 384.0;  N;
NGC4206;            survey; Equatorial; J2000; 12:15:16.8; +13:01:26.4; Heliocentric; Optical; 703.0;  N;
WISEAJ121517.9;     survey; Equatorial; J2000; 12:15:18.0; +14:41:40.5; Heliocentric; Optical; 1150.0; N;
MRK1315;            survey; Equatorial; J2000; 12:15:18.6; +20:38:26.5; Heliocentric; Optical; 846.9;  N;
WISEAJ121519.1;     survey; Equatorial; J2000; 12:15:19.1; +02:55:40.0; Heliocentric; Optical; 1365.2; N;
VCC0146;            survey; Equatorial; J2000; 12:15:20.3; +12:36:54.5; Heliocentric; Optical; 1150.0; N;
UGC07267;           survey; Equatorial; J2000; 12:15:23.7; +51:20:59.0; Heliocentric; Optical; 461.6;  N;
GALEXMSCJ12152;     survey; Equatorial; J2000; 12:15:29.2; +13:58:06.4; Heliocentric; Optical; 1150.0; N;
NGC4207;            survey; Equatorial; J2000; 12:15:30.4; +09:35:05.7; Heliocentric; Optical; 596.0;  N;
UGC07271;           survey; Equatorial; J2000; 12:15:33.4; +43:26:02.8; Heliocentric; Optical; 552.3;  N;
GALEXASCJ12153;     survey; Equatorial; J2000; 12:15:33.9; +13:50:14.3; Heliocentric; Optical; 1150.0; N;
SDSSJ121537.11;     survey; Equatorial; J2000; 12:15:37.1; +44:17:10.2; Heliocentric; Optical; 892.5;  N;
NGC4214;            survey; Equatorial; J2000; 12:15:39.2; +36:19:36.8; Heliocentric; Optical; 291.1;  N;
UGC07269;           survey; Equatorial; J2000; 12:15:40.1; +15:00:19.1; Heliocentric; Optical; 1083.0; N;
WISEAJ121543.0;     survey; Equatorial; J2000; 12:15:43.0; +51:48:01.2; Heliocentric; Optical; 676.9;  N;
NGC4218;            survey; Equatorial; J2000; 12:15:46.4; +48:07:51.9; Heliocentric; Optical; 730.0;  N;
NGC4217;            survey; Equatorial; J2000; 12:15:50.9; +47:05:30.4; Heliocentric; Optical; 1028.0; N;
VCC0168;            survey; Equatorial; J2000; 12:15:53.8; +14:01:29.6; Heliocentric; Optical; 682.0;  N;
IC3077;             survey; Equatorial; J2000; 12:15:56.3; +14:25:58.8; Heliocentric; Optical; 1398.2; N;
NGC4221;            survey; Equatorial; J2000; 12:15:59.9; +66:13:51.1; Heliocentric; Optical; 1314.9; N;
VCC0173;            survey; Equatorial; J2000; 12:16:00.4; +08:12:07.7; Heliocentric; Optical; 715.0;  N;
MCG+08-22-086;      survey; Equatorial; J2000; 12:16:02.3; +46:43:57.8; Heliocentric; Optical; 1061.7; N;
IC3081;             survey; Equatorial; J2000; 12:16:09.1; +12:41:28.7; Heliocentric; Optical; 1103.0; N;
NGC4220;            survey; Equatorial; J2000; 12:16:11.7; +47:53:00.4; Heliocentric; Optical; 914.1;  N;
VCCA012;            survey; Equatorial; J2000; 12:16:20.6; +14:46:27.0; Heliocentric; Optical; 524.3;  N;
NGC4222;            survey; Equatorial; J2000; 12:16:22.5; +13:18:24.7; Heliocentric; Optical; 229.9;  N;
WISEAJ121624.7;     survey; Equatorial; J2000; 12:16:24.8; +31:35:09.8; Heliocentric; Optical; 1346.9; N;
SDSSJ121627.25;     survey; Equatorial; J2000; 12:16:27.3; +33:41:36.4; Heliocentric; Optical; 915.8;  N;
DDO116;             survey; Equatorial; J2000; 12:16:29.0; -11:31:41.7; Heliocentric; Optical; 1169.5; N;
VCC0200;            survey; Equatorial; J2000; 12:16:33.7; +13:01:54.1; Heliocentric; Optical; 8.5;    N;
WISEAJ121638.6;     survey; Equatorial; J2000; 12:16:38.7; -01:27:06.1; Heliocentric; Optical; 917.0;  N;
UGC07301;           survey; Equatorial; J2000; 12:16:42.1; +46:04:43.6; Heliocentric; Optical; 706.0;  N;
NGC4236;            survey; Equatorial; J2000; 12:16:42.1; +69:27:45.3; Heliocentric; Optical; 0.0;    N;
UGC07300;           survey; Equatorial; J2000; 12:16:43.3; +28:43:52.1; Heliocentric; Optical; 1210.0; N;
SDSSJ121651.40;     survey; Equatorial; J2000; 12:16:51.4; +29:03:17.1; Heliocentric; Optical; 1101.5; N;
IC3096;             survey; Equatorial; J2000; 12:16:52.4; +14:30:52.5; Heliocentric; Optical; 1264.0; N;
IC3094;             survey; Equatorial; J2000; 12:16:56.0; +13:37:31.5; Heliocentric; Optical; -165.6; N;
IC3097;             survey; Equatorial; J2000; 12:17:01.1; +09:24:27.5; Heliocentric; Optical; 1253.0; N;
WISEAJ121702.5;     survey; Equatorial; J2000; 12:17:02.5; +10:30:46.0; Heliocentric; Optical; 1150.0; N;
WISEAJ121703.4;     survey; Equatorial; J2000; 12:17:03.4; +28:54:52.0; Heliocentric; Optical; 809.4;  N;
UGC07307;           survey; Equatorial; J2000; 12:17:04.3; +10:00:18.8; Heliocentric; Optical; 1183.0; N;
CGCG158-058;        survey; Equatorial; J2000; 12:17:07.4; +30:38:36.2; Heliocentric; Optical; 787.0;  N;
NGC4237;            survey; Equatorial; J2000; 12:17:11.5; +15:19:26.5; Heliocentric; Optical; 863.6;  N;
WISEAJ121714.6;     survey; Equatorial; J2000; 12:17:14.6; +28:36:14.4; Heliocentric; Optical; 1209.5; N;
NGC4239;            survey; Equatorial; J2000; 12:17:14.9; +16:31:52.9; Heliocentric; Optical; 907.5;  N;
CGCG098-132;        survey; Equatorial; J2000; 12:17:27.3; +17:39:01.7; Heliocentric; Optical; 947.1;  N;
UGC07320;           survey; Equatorial; J2000; 12:17:28.6; +44:48:39.8; Heliocentric; Optical; 539.0;  N;
NGC4244;            survey; Equatorial; J2000; 12:17:29.5; +37:48:26.5; Heliocentric; Optical; 244.3;  N;
NGC4242;            survey; Equatorial; J2000; 12:17:30.2; +45:37:09.5; Heliocentric; Optical; 515.0;  N;
VCC0239;            survey; Equatorial; J2000; 12:17:30.7; +10:09:32.6; Heliocentric; Optical; 1150.0; N;
2MASXJ12173195;     survey; Equatorial; J2000; 12:17:31.9; +47:59:43.1; Heliocentric; Optical; 687.4;  N;
IC3105;             survey; Equatorial; J2000; 12:17:33.8; +12:23:17.2; Heliocentric; Optical; -154.4; N;
UGC07321;           survey; Equatorial; J2000; 12:17:34.0; +22:32:25.3; Heliocentric; Optical; 408.0;  N;
NGC4245;            survey; Equatorial; J2000; 12:17:36.8; +29:36:28.8; Heliocentric; Optical; 869.0;  N;
WISEAJ121742.4;     survey; Equatorial; J2000; 12:17:42.4; +27:29:04.1; Heliocentric; Optical; 1171.9; N;
WISEAJ121749.2;     survey; Equatorial; J2000; 12:17:49.1; +16:35:46.7; Heliocentric; Optical; 1150.0; N;
NGC4248;            survey; Equatorial; J2000; 12:17:49.9; +47:24:33.0; Heliocentric; Optical; 482.1;  N;
UGC07332;           survey; Equatorial; J2000; 12:17:56.3; +00:26:07.8; Heliocentric; Optical; 933.9;  N;
WISEAJ121756.9;     survey; Equatorial; J2000; 12:17:57.0; +67:05:47.1; Heliocentric; Optical; 1204.8; N;
SDSSJ121759.40;     survey; Equatorial; J2000; 12:17:59.4; +46:56:34.3; Heliocentric; Optical; 1149.1; N;
NGC4241;            survey; Equatorial; J2000; 12:17:59.9; +06:39:15.1; Heliocentric; Optical; 733.0;  N;
